msisdn,daily_calls,avg_call_duration,daily_data_gb,unique_destinations,is_fraud,report_date,avg_call_duration_min,call_to_dest_ratio,data_usage_intensity,dest_zscore,anomaly_score,predicted_status,potential_revenue_loss_idr
628170000032,6,85.71010396956397,0.431301561601853,6,0,2021-02-09,1.4285017328260663,1.0,0.0179708984000772,-0.1600922250946391,1,NORMAL,0.0
628170000360,3,76.35340717904194,3.414692892409175,3,0,2019-09-26,1.2725567863173657,1.0,0.1422788705170489,-0.2178310056130858,1,NORMAL,0.0
628170000709,13,32.63812880317959,0.3236788529616803,3,0,2020-10-07,0.5439688133863265,4.333333333333333,0.0134866188734033,-0.2178310056130858,1,NORMAL,0.0
628170000230,11,144.51528125164424,1.813545825754663,6,0,2021-03-16,2.408588020860737,1.8333333333333333,0.0755644094064443,-0.1600922250946391,1,NORMAL,0.0
628180000045,744,11.213013883577457,388.68723233232623,89,1,2018-11-05,0.1868835647262909,8.359550561797754,16.19530134718026,1.4373473692490526,-1,SUSPECTED FRAUD,1943436.1616616312
628170000511,1,156.19840803746484,2.5392812893680223,1,0,2020-10-31,2.603306800624414,1.0,0.1058033870570009,-0.256323525958717,1,NORMAL,0.0
628170000428,8,265.6953756866302,4.54064744455308,6,0,2017-07-12,4.4282562614438366,1.3333333333333333,0.189193643523045,-0.1600922250946391,1,NORMAL,0.0
628170000397,13,282.9440296176847,4.17531551401129,2,0,2018-01-11,4.715733826961412,6.5,0.1739714797504704,-0.2370772657859014,1,NORMAL,0.0
628180000024,629,12.823990940170372,273.066687604351,269,1,2018-11-02,0.2137331823361728,2.3382899628252787,11.377778650181291,4.901674200355854,1,NORMAL,0.0
628170000381,8,133.4474026273643,4.672255323583433,4,0,2019-09-03,2.2241233771227384,2.0,0.1946773051493097,-0.1985847454402703,1,NORMAL,0.0
628170000050,3,196.9287883131799,0.9589844175525324,4,0,2019-11-28,3.282146471886332,0.75,0.0399576840646888,-0.1985847454402703,1,NORMAL,0.0
628170000198,13,64.42193882963525,4.471214975807149,6,0,2017-12-29,1.0736989804939208,2.1666666666666665,0.1863006239919645,-0.1600922250946391,1,NORMAL,0.0
628170000396,6,209.191214647915,0.2185396430676407,2,0,2020-02-17,3.4865202441319165,3.0,0.0091058184611516,-0.2370772657859014,1,NORMAL,0.0
628170000584,12,265.3977524912126,2.3067197966365223,4,0,2022-07-15,4.423295874853543,3.0,0.096113324859855,-0.1985847454402703,1,NORMAL,0.0
628170000992,9,210.23847280869705,1.2386831829746343,1,0,2019-04-17,3.5039745468116177,9.0,0.0516117992906097,-0.256323525958717,1,NORMAL,0.0
