msisdn,daily_calls,avg_call_duration,daily_data_gb,unique_destinations,is_fraud,report_date,avg_call_duration_min,call_to_dest_ratio,data_usage_intensity,dest_zscore
628170000032,6,85.71010396956397,0.431301561601853,6,0,2021-02-09,1.4285017328260663,1.0,0.01797089840007721,-0.16009222509463916
628170000360,3,76.35340717904194,3.414692892409175,3,0,2019-09-26,1.2725567863173657,1.0,0.14227887051704896,-0.21783100561308585
628170000709,13,32.63812880317959,0.3236788529616803,3,0,2020-10-07,0.5439688133863265,4.333333333333333,0.013486618873403347,-0.21783100561308585
628170000230,11,144.51528125164424,1.813545825754663,6,0,2021-03-16,2.4085880208607375,1.8333333333333333,0.0755644094064443,-0.16009222509463916
628180000045,744,11.213013883577457,388.68723233232623,89,1,2018-11-05,0.18688356472629095,8.359550561797754,16.19530134718026,1.4373473692490526
628170000511,1,156.19840803746484,2.5392812893680223,1,0,2020-10-31,2.603306800624414,1.0,0.10580338705700093,-0.256323525958717
628170000428,8,265.6953756866302,4.54064744455308,6,0,2017-07-12,4.4282562614438366,1.3333333333333333,0.189193643523045,-0.16009222509463916
628170000397,13,282.9440296176847,4.17531551401129,2,0,2018-01-11,4.7157338269614115,6.5,0.17397147975047042,-0.23707726578590144
628180000024,629,12.823990940170372,273.066687604351,269,1,2018-11-02,0.21373318233617286,2.3382899628252787,11.377778650181291,4.901674200355854
628170000381,8,133.4474026273643,4.672255323583433,4,0,2019-09-03,2.2241233771227384,2.0,0.1946773051493097,-0.1985847454402703
628170000050,3,196.9287883131799,0.9589844175525324,4,0,2019-11-28,3.2821464718863314,0.75,0.03995768406468885,-0.1985847454402703
628170000198,13,64.42193882963525,4.471214975807149,6,0,2017-12-29,1.0736989804939208,2.1666666666666665,0.18630062399196454,-0.16009222509463916
628170000396,6,209.191214647915,0.2185396430676407,2,0,2020-02-17,3.4865202441319165,3.0,0.009105818461151697,-0.23707726578590144
628170000584,12,265.3977524912126,2.3067197966365223,4,0,2022-07-15,4.423295874853543,3.0,0.09611332485985509,-0.1985847454402703
